company	firm_id	gvkey	year
terreno.com	1816	183833	2016
transalta.com	10883	14391	2016
antarespharma.com	1546	63700	2016
icl-group.com	8491	220211	2016
trecora.com	9166	1712	2016
mesalabs.com	5266	7275	2016
aam.com	10932	117861	2016
dailyjournal.com	10519	12568	2016
eplus.com	9179	63986	2016
apple.com	7538	1690	2016
selective.com	5578	17115	2016
howardbank.com	2366	166723	2016
chalco.com.cn	5948	146352	2016
synutra.com	12038	165124	2016
nationalbeverage.com	6468	24463	2016
genvec.com	8845	111965	2016
digitalallyinc.com	2288	162233	2016
resolutefp.com	2394	2337	2016
gannett.com	274	23821	2016
bostonprivate.com	6880	29211	2016
bostonscientific.com	5302	25279	2016
caleres.com	576	2436	2016
ohainvestmentcorporation.com	6296	162219	2016
thorindustries.com	7671	10549	2016
dexcom.com	5328	162887	2016
cytokinetics.com	7504	158563	2016
cincinnatibell.com	10391	3036	2016
snl.com	3211	24965	2016
greatsouthernbank.com	6824	19428	2016
meredith.com	5468	7260	2016
calithera.com	3579	21627	2016
postholdings.com	10610	170527	2016
gartner.com	332	12441	2016
sodastream.com	9054	185769	2016
mavenir.com	5452	15056	2016
spscommerce.com	180	183974	2016
manutd.com	7468	200480	2016
identiv.com	8853	65552	2016
pdf.com	4591	144437	2016
parkelectro.com	8591	8348	2016
himax.com.tw	9175	270705	2016
prothena.com	7795	16745	2016
bankwithsouthern.com	7241	30055	2016
usnrg.com	8249	10938	2016
genmarkdx.com	2353	184542	2016
stillwatermining.com	11929	31203	2016
picoholdings.com	9527	23768	2016
outfrontmedia.com	5943	19507	2016
xtantmedical.com	8960	185193	2016
comtechtel.com	1273	3358	2016
smithmicro.com	9381	61321	2016
chemocentryx.com	1328	179671	2016
rokabio.com	10647	20675	2016
fsbwa.com	12435	181820	2016
tesla.com	303	184996	2016
morningstar.com	8422	160373	2016
dcpmidstream.com	4944	165466	2016
jetpaycorp.com	12214	186158	2016
mdly.com	60	21547	2016
synaptics.com	7045	142814	2016
rockwellmed.com	5900	66366	2016
cheniere.com	893	176914	2016
sophirisbio.com	355916	154414	2016
kadant.com	10971	25922	2016
riotinto.com	2956	19565	2016
bankucb.com	10893	166747	2016
acceleratediagnostics.com	601	21118	2016
purecyclewater.com	3662	8826	2016
incyte.com	333	29127	2016
kaiseraluminum.com	4550	24293	2016
crbard.com	9632	2044	2016
ballantynestrong.com	11932	61285	2016
coffeeholding.com	362	160742	2016
insperity.com	6729	64302	2016
pega.com	11035	63290	2016
delekus.com	3911	166563	2016
stamps.com	2515	121673	2016
broadwayfederalbank.com	3883	61815	2016
issuerdirect.com	4653	183139	2016
checkpoint.com	5803	63185	2016
firstharrison.com	11322	117034	2016
spectrumbrands.com	7186	11670	2016
pamtransport.com	11619	12598	2016
autoweb.com	151882	119173	2016
lazydays.com	851872	26218	2016
teaminc.com	7237	10353	2016
asteriasbiotherapeutics.com	6368	21150	2016
nanoviricides.com	3308	160997	2016
evolving.com	10362	110529	2016
big5sportinggoods.com	4545	145041	2016
west.com	5549	64055	2016
stewart.com	78	10086	2016
u-g.com	2473	10902	2016
wsbonline.com	8188	164365	2016
arinet.com	4328	24670	2016
finjan.com	4885	18108	2016
anthera.com	11033	183879	2016
perion.com	831	165923	2016
lfg.com	12502	6742	2016
kodak.com	6089	4194	2016
zynga.com	382	187576	2016
dynatronics.com	1312	4124	2016
kornferry.com	9019	118267	2016
cadence.com	6323	13421	2016
corbuspharma.com	2236	22035	2016
