company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
nationalbeverage.com	6468	24463	0.1673860701	0.0761548999	-0.074073993	1.3522764045
antarespharma.com	1546	63700	-1	-1	-0.812499649	0.5012185977
brookstone.com	6002	27991	0.1911449135	0.0839260254	0.3699983446	0.9136282497
trecora.com	9166	1712	0.0905683011	0.1685200686	-0.560000033	0.9296772915
mesalabs.com	5266	7275	0.2667232598	0.3966170159	-0.351851611	2.1141273345
dianon.com	521	24353	0.2048061466	0.1208870734	-0.039999742	1.6185597908
dailyjournal.com	10519	12568	0.3679268082	0.2951668744	0.0304045063	1.9140341792
btu.com	1752	15331	0.0778453969	0.0532336899	-0.421687453	0.6684966982
selective.com	5578	17115	0.0338734824	0.0983914328	-0.235289461	0.2841594413
kyocerasolar.com	10078	19260	0.0337912578	0.021846452	-0.18367331	1.132381802
cpicorp.com	1070	2555	0.2447707433	0.1526966111	0.2005740333	1.2999724341
shelbywilliams.com	4070	9649	0.2123436681	0.1147001573	-0.254039989	1.2184351745
misonix.com	8097	24890	0.2615184176	0.2468142186	-0.113207687	1.88754149
resolutefp.com	2394	2337	0.0965156931	0.2463157895	-0.0504073	0.8059396482
pfeiffer-vacuum.com	11634	63265	0.2154890603	0.1743475847	0.9477672455	2.4963878537
maytag.com	3537	7139	0.2594201795	0.1649653871	0.6922036538	2.4166205182
bostonprivate.com	6880	29211	0.0282298189	0.2716958892	0.0624985677	0.3803808445
bostonscientific.com	5302	25279	0.1590428881	0.2771824196	0.1689366432	3.3294074811
caleres.com	576	2436	0.100647781	0.044572553	0.3514466147	0.7377645369
omegaprotein.com	10369	109084	0.2255080886	0.3265920407	-0.421428387	0.7629099865
thorindustries.com	7671	10549	0.1844322627	0.0551495249	0.1183057866	1.4358339642
hallmarkgrp.com	9937	27932	0.0160012898	0.0478659272	-0.649999852	0.2404526309
ingrammicro.com	4748	63919	0.082357601	0.0251677427	0.2145919656	0.9967223116
brg.com	9597	60935	0.1391450425	0.0416074387	0.0800025828	0.6474730145
uns.com	6001	10757	0.0925973168	0.3173222528	-0.2551717	0.9577253642
ilgenetics.com	9160	65930	-1	-1	-0.82222208	1.7389055268
cohu.com	8944	3158	0.1009424832	0.0954807563	-0.271698204	1.3261213948
snl.com	3211	24965	0.2202078136	0.2073137662	-0.553269534	0.8461937207
meredith.com	5468	7260	0.1775246071	0.1874798872	0.0690445819	2.5021562272
qualcomm.com	10067	24800	0.1544905878	0.1184433685	0.0685746636	1.6370654072
wvtc.com	6528	11291	0.2525495623	0.3937986678	-0.04921079	2.3694533859
gartner.com	332	12441	0.2138578483	0.277457836	-0.429529782	2.5359158261
airnet.com	3264	62957	0.2230038548	0.2412100527	-0.331395622	1.6189127535
sonomawestholdings.com	6887	11074	0.1081536388	0.0861117498	0.2941170712	0.801321236
gettyimages.com	11979	63196	0.0763724903	0.1909943593	-0.312500197	1.2920968245
rainforestcafe.com	1823	31700	0.1173692017	0.1402156228	-0.724431736	0.5848567373
parkelectro.com	8591	8348	0.132624976	0.1266914435	0.0260563081	1.2973984148
matrixservicecompany.com	2414	23195	0.1154415874	0.0605695351	-0.482993245	0.7841956342
bankwithsouthern.com	7241	30055	0.0153128948	0.1950821011	-0.267922409	0.3455853591
kingsroadentertainment.net	12713	6452	0.1404180159	0.3101430429	0.2959992423	1.1256991463
usnrg.com	8249	10938	-0.062795708	-0.460948965	-0.774648192	0.9817438193
stillwatermining.com	11929	31203	0.1036742008	0.3263401516	1.3703750001	4.2965704879
picoholdings.com	9527	23768	-0.024642185	-0.205404037	-0.588349669	0.3000207502
octagonaero.com	3239	62879	0.0768313897	0.0999958073	-0.246377937	1.1701243477
irf.com	3900	6109	0.0969086484	0.1292066731	-0.174603094	0.8743774012
comtechtel.com	1273	3358	0.1296296296	0.0848442585	1.0588251055	0.9771435819
smithmicro.com	9381	61321	-0.151516608	-0.33015607	0.0312508177	1.3954567851
berkshirehathawayenergyco.com	5512	13427	0.0906530262	0.3229727858	0.2065216899	0.9184662376
interplay.com	498	111205	-0.245521742	-0.145315382	-0.690217457	0.7622632963
reginapizzeria.com	10163	20901	0.1176644494	0.0707241226	-0.285714293	1.8891537324
tumbleweedhldgs.com	3986	22380	-0.122521537	-0.038978553	-0.833333362	5.1326234104
cybexintl.com	8899	6839	0.1251471311	0.1058436214	-0.651282015	0.7026307497
souplantation.com	5507	31811	0.2101328121	0.1621732138	-1.413844E-6	1.1378514576
hannaford.com	5599	5465	0.2081791274	0.0804594312	0.2362867073	1.988893283
creative.com	9556	25773	0.2500771576	0.1752905507	-0.31818161	1.3733012335
abfsonline.com	4092	63782	0.1552895375	0.5768606424	-0.582803884	0.9803134835
rockwellmed.com	5900	66366	-0.311123766	-0.31082875	-0.500000764	2.2921412301
myrgroup.com	10164	7635	0.169547818	0.0406754865	-0.091737454	0.7256463307
kadant.com	10971	25922	0.0910184968	0.1571136421	-0.415384412	1.378184266
riotinto.com	2956	19565	0.1398873971	0.3148586548	-0.089933618	1.2440365341
acceleratediagnostics.com	601	21118	0.2845796064	0.5388158786	-0.810185586	2.4078711986
dexyp.com	869879	111631	0.023219409	0.0529836182	-0.004759071	2.5054144712
ultratech.com	12187	28938	-0.081578466	-0.24630173	-0.194969952	1.3807591437
dixonusa.com	6479	4005	0.1404404621	0.104303972	-0.258333777	0.8806731081
incyte.com	333	29127	0.1256850059	0.2147005808	-0.169443607	4.52507382
kaiseraluminum.com	4550	24293	0.0784713631	0.1040152455	-0.450705031	0.4509932629
sentrytechnology.com	2624	31285	-0.085502747	-0.101718994	-0.583333806	1.1863319501
crbard.com	9632	2044	0.2056862382	0.1906928823	0.6126489272	2.5107899611
ballantynestrong.com	11932	61285	0.2554241154	0.1924537352	-0.265626898	2.0943219193
arthrocare.com	9897	61996	-0.076332853	-0.07590629	0.6571459336	7.0371757925
abercrombie.com	2726	63643	0.4890513626	0.1926068361	1.2640022878	8.9373117203
aluminalimited.com	1508	16560	0	0	-0.099104675	0.8731139195
protection1.com	8428	30720	0.0625997733	0.3733314335	-0.243093851	0.8183862494
insperity.com	6729	64302	0.1043844845	0.0088564718	-0.033816503	2.5415093943
pega.com	11035	63290	-0.14072239	-0.317262705	-0.794117469	0.8583954682
roanokesteel.com	6707	9170	0.2231529879	0.1430299047	-0.153328106	0.999645898
ecdimail.com	1145	25778	-0.030025255	-0.011359749	-0.601190588	1.5108541452
broadwayfederalbank.com	3883	61815	0.0120562166	0.1698094962	-0.42225976	0.1433796658
spectrumbrands.com	7186	11670	0.1078214164	0.2696492082	0.8484560889	0.7309133294
pamtransport.com	11619	12598	0.2469419867	0.2181484172	-0.100001212	1.052438899
energyfocus.com	11381	30614	0.0678503488	0.0566087647	-0.288888242	0.8764531811
unfi.com	2800	63927	0.184581751	0.0537460043	-0.072115484	2.6938220875
repsol.com	6883	15319	0.1548446197	0.1898737133	0.3191218449	1.0863344454
teaminc.com	7237	10353	0.1617799114	0.0963767957	0.0357136937	1.3399856905
evolving.com	10362	110529	-0.139598559	-0.177990225	-0.807432386	0.9348764717
macerich.com	4557	29868	0	0	-0.036503158	1.0232086349
west.com	5549	64055	0.3089940179	0.2087203799	-0.187500582	1.9953562745
delwebb.com	9940	11328	0.0558451905	0.062137078	0.0666442811	0.8955728972
stewart.com	78	10086	0.1954036362	0.1005459551	1.0122867349	0.854524044
u-g.com	2473	10902	0.3186635266	0.2468643101	0.0752939283	3.2380777156
asm.com	9791	1166	0.1243265046	0.1220993136	-0.395682565	1.0807509737
tagheuer.com	2802	212778	0.2409065496	0.1800356668	-0.12710547	2.1204517555
arinet.com	4328	24670	-0.136164897	-0.218985434	0.8999981519	0.943399633
remedystaff.com	3598	63252	0.2733195968	0.0543709454	-0.219353304	2.13635908
travelers.com	3833	62689	0.0401373016	0.1969189551	-0.28810551	0.2788535905
americannational.com	413	1526	0.032319107	0.1633058495	-0.083590672	0.2485507878
proiris.com	704	6110	0.0522004547	0.0609078024	-0.759259113	0.5959389697
flooringamerica.com	5371	28955	0.1360554163	0.1197966735	0.5421698355	1.253078975
lfg.com	12502	6742	0.0114554757	0.1766908673	0.0735711252	0.1433796658
kodak.com	6089	4194	0.1978551551	0.2174399523	0.2183220267	1.7147530035
ampcopgh.com	859876	1613	0.1450632876	0.1635640634	-0.430742741	0.5511836024
cadence.com	6323	13421	0.3227358143	0.3731306586	0.2142856856	4.6354041159
forwardair.com	350	29206	0.3583474159	0.1560664837	0.0631445989	2.523297775
almostfamily.com	9955	13800	0.1049199524	0.0546000861	-0.607142541	0.7805705287
gd.com	412214	5046	0.1461067367	0.1344064386	0.3851732955	1.7025253718
renasant.com	473	25173	0.0269493542	0.3107763716	-0.075221173	0.1982915086
freshdelmonte.com	8867	30443	0.163926499	0.1059308793	0.4829052665	1.470219294
energyfutureholdings.com	9027	10507	0.0913600243	0.2449782845	0.1838668138	0.8539333385
etcia.com	7999	4292	0.1038037682	0.0666159696	-0.680833739	0.3398655054
rayonier.com	5353	5862	0.138487784	0.2198160557	0.1100778092	1.1028415813
rvlti.com	676764	29921	-0.0409699	-0.058682635	-0.305263751	1.1302675585
coinstar.com	4937	65026	-0.015430069	-0.031988086	0.1780818654	2.5462193802
surgecomponents.com	3637	22972	-0.05513457	-0.048350137	0.4166696383	0.3566517507
amkor.com	3776	110039	0.2482669837	0.158904784	0.0421686641	1.5442523244
tat-technologies.com	12327	14229	0.0120592744	0.0164173913	-0.161290066	0.4713783853
tredegar.com	1736	15459	0.2512741208	0.1641578403	0.0314650995	1.8589531867
mgcdiagnostics.com	12070	14581	-1	-1	-0.602272785	2.8430593893
williams.com	3309	11506	0.0794324111	0.1987574306	0.1168641563	1.1406212293
coca-colacompany.com	4522	3144	0.2831548707	0.2881518099	0.0131870091	8.8972911465
bankofamerica.com	372668	7647	0.0261057928	0.3113294976	0.0133928445	0.4106397668
topimagesystems.com	5362	64036	0.1540087175	0.1703682057	-3.73933E-7	1.5616166953
santanderbank.com	2993	17130	0.0179173257	0.2688284977	-0.171855328	0.4702843605
thezenith.com	6859	13597	0.0245364063	0.0700792583	-0.067354013	0.3099639528
elcompanies.com	635	61567	0.2016077682	0.1400221117	0.6707434862	3.59801367
lancastercolony.com	6537	6573	0.3559760998	0.1868070646	-0.131286638	3.1148048046
advancedphotonix.com	3119	23616	0.0383286208	0.0348173516	-0.500000018	2.04632705
tradestation.com	5545	65521	0.106301869	0.1116702697	-0.441861717	2.2538964982
symantec.com	4158	15855	0.2635604248	0.217123907	-0.008545156	3.2586767682
goldenflake.com	1868	5210	0.1799467235	0.0655020479	-0.141417666	1.5607032499
emeritus.com	3058	61584	-0.07187743	-0.09131208	-0.171569217	1.5675130917
landec.com	5913	62169	-0.058929077	-0.074471894	0.7142855123	1.289746435
gpstrategies.com	8219	7759	0.080898983	0.0599335399	0.0810809241	1.0361394941
gsr.com	11892	20488	-0.36087584	0	-0.701754506	0.5121688995
tiinetworktechnologies.com	9929	10286	-0.061201749	-0.057588826	-0.594593858	1.0017134808
cantelmedical.com	6673	2942	0.1575762968	0.0885300807	-0.101695652	1.8335817244
trimble.com	4903	22815	-0.002495537	-0.001498392	-0.667622004	1.2398962753
university-bank.com	10290	21423	0.0445760599	0.2434895833	-0.328947633	0.1973856718
laureate.net	517	13227	0.1242596196	0.1861921741	0.1730756224	2.375988942
oceanbiochem.com	10117	8073	0.0498949171	0.0504525777	-0.068183482	0.9395384136
sst.com	170	61592	-0.268392176	-0.217069341	-0.220000637	1.0023892016
omnicomgroup.com	12674	4066	0.1003043389	0.1693797375	0.383198105	1.5332247477
umpquabank.com	6104	65228	0.0309890337	0.4068508378	-0.385229881	0.3134684073
shopko.com	5485	24522	0.1281711817	0.065494698	0.5113663026	0.8824499235
vivus.com	888	30007	-0.330524137	-0.239414182	-0.75588242	1.5287255489
igius.com	5322	28916	-0.072451855	-0.083423472	-0.806451851	1.0577295679
pharmoscorp.com	2563	12757	-0.587455064	-1	-0.203124523	8.0708119499
myrepublicbank.com	4317	18040	0.0190777382	0.2623505286	-0.040000145	0.4792586969
hickok-inc.com	9888	5621	0.1393633282	0.1009726502	-0.338637287	0.5946201901
biglots.com	2027	12123	0.2195110918	0.0945305676	-0.540540474	2.6456623726
interdigital.com	4644	6100	0.4890513626	0.4915390895	0.4897954906	2.2813024376
perceptron.com	2161	25676	-0.027692447	-0.037050468	-0.693641562	0.8356052735
statestreet.com	313	10035	0.025232573	0.2805857345	0.214840939	0.554295365
infoa.com	5740	21663	-0.620681995	-0.364466475	-0.89285706	1.3431078529
dgtholdings.com	3069	3839	0.1335461669	0.1550918867	0.1500010117	1.0585706981
igt.com	12006	6097	0.1686578632	0.3159055141	-0.032487363	1.5377060568
colonybank.com	1543	66504	0.023687026	0.2711635447	-0.175990942	0.1863914325
sanmina.com	10319	28139	0.2652502328	0.1760720937	0.8450171316	2.0795166298
renees.com	6017	65585	0.1067444219	0.0797348485	-0.342104873	2.8090770791
hic.us	4560	29741	0.1614271283	0.1215724339	-0.865056524	1.7272297792
penskeautomotive.com	384	63847	0.0682911753	0.0241897829	-0.498292633	0.7606738212
friedmanindustries.com	12445	4903	0.1809987185	0.0559859179	-0.118177251	1.151491214
enzo.com	3240	4418	0.0264576663	0.0472326001	-0.259615232	4.055863928
lifestorage.com	8142	60914	0	0	-0.161467741	1.0189730048
realtyincome.com	605	30822	0	0	0.0564833446	1.2668991049
